Regiones,Casos
LAS TABLAS (LOS SANTOS),653
BARRIADA 4 DE ABRIL,72
COMARCA MADUNGANDI,37
BACO,530
FINCA 60,173
MANCREEK,34
LA GLORIA,14
BOCAS DEL TORO,643
UTIRA,5
RODEO VIEJO,70
LLANO DE CATIVAL,150
PILON,185
COCHEA,135
FINCA 6,270
CERRO BANCO,43
SUSAMA,94
NAMNONI,24
CERRO PELADO,246
CABUYA (PANAMA OESTE),88
EL CACAO (LOS SANTOS),39
EL CRISTO (COCLE),193
CIRILO GUAINORA,80
BAJO CEDRO,20
CHITRE,999
TOZA,206
LOS CANELOS,75
VIRGEN DEL CARMEN,475
NOMBRE DE DIOS,32
COROZAL (VERAGUAS),19
EL SILENCIO,160
CERRO IGLESIAS,75
CAÑAVERAL (NGOBE BUBLE),7
VALLE DEL RISCO,31
OCU,512
DOLEGA,567
KUSAPIN,169
SAN FRANCISCO (VERAGUAS),255
EL BARRITO,49
SAN ANDRES,169
VALLE DE AGUA ARRIBA,18
RIO SERENO,256
KANKINTU,212
RINCON (CHIRIQUI),125
LLANO BONITO (HERRERA),646
CALOBRE,221
ITURRALDE,64
QUEBRADA DE PIEDRA,52
BUENOS AIRES (NGOBE BUGLE),15
LOS ANASTACIOS,179
VILLA CARMEN,154
EL CAÑO,126
LOS NARANJOS,215
CRISTOBAL ESTE,757
CHIGUIRI ARRIBA,238
POTRERILLOS,112
DAVID ESTE,1509
LA GUINEA,2
SAN CARLOS (PANAMA OESTE),490
LLANO NORTE,240
TUCUTI,13
GOMEZ,60
HATO JOBO,4
LAS LAJAS (PANAMA OESTE),316
TULU,126
LAJERO,43
CAPELLANIA,257
EL CACAO (PANAMA OESTE),158
LA CARRILLO,29
RIO IGLESIAS,24
JAQUE,48
ESCOBAL,210
SANTA CATALINA O CALOVEBORA (BLEDESHIA),98
DOS RIOS,94
EL GUASIMO (COLON),3
SANTA FE (VERAGUAS),274
CAMARON ARRIBA,14
ROKA,33
PARITA,214
TABOGA,60
BOCA DEL MONTE,96
CIRICITO,106
PIEDRAS GORDAS,255
MIGUEL DE LA BORDA,57
VIGUI,21
CHEPIGANA,13
CANTA GALLO,25
RINCON HONDO,67
COCLE DEL NORTE,35
LAS LOMAS (COCLE),119
PEDREGAL (BOQUERON),204
EMPLANADA DE CHORCHA,19
LLANO LARGO,70
SANTA ROSA (PANAMA OESTE),75
BOCA DE BALSA,11
QUEREVALO,125
TOLOTE,18
ALTO CABALLERO,143
CHICHICA,150
EL PRADO,79
EL PIRO,99
GUARUMAL (CHIRIQUI),149
TERIBE,43
PUEBLOS UNIDOS,286
SAN MIGUEL (PANAMA ESTE),77
EL REAL DE SANTA MARIA,64
CAUCHERO,9
SORTOVA,131
PINOGANA,21
HURTADO,87
TOLE,199
SOLANO,281
LA ESPIGADILLA,85
PEDASI,80
LA ERMITA,66
URRACA,85
SALUD,57
CERRO PUERCO,19
CABUYA (HERRERA),23
EL POTRERO (COCLE),119
RIO CONGO,200
SAN JOSE (CAÑAZAS),50
SAMBU,119
GUACA,54
CHUPA,33
SANTA ROSA (COLON),95
EL CEDRO,15
LA TRINIDAD,56
SAN JUAN (VERAGUAS),35
MONTE LIRIO,50
SANTA ISABEL,40
ARENAS,27
EL PIRON2,21
UMANI,18
LAS LAJAS (CHIRIQUI),105
SANTA CRUZ (SAN FELIX),35
CIRI GRANDE,53
DIKERI,25
ACHIOTE,15
PIÑA,24
SANTO DOMINGO (LOS SANTOS),113
LA TIZA,65
BOCA CHICA,12
CUANGO,8
REMANCE,50
SAN JOSE (PANAMA OESTE),196
RIO LUIS,66
SAN MARCELO,36
SAN JOSE (SAN FRANCISCO),102
SORA,72
BUENOS AIRES (PANAMA OESTE),114
YAPE,3
BASTIMENTOS,50
RIO GRANDE (COCLE),167
VELADERO,47
CASCABEL,4
HATO PILON,41
LOS LLANITOS,290
GATUCITO,20
QUEBRO,38
HATO CULANTRO,9
JARAMILLO,216
HATO JULI,38
BORO,93
BARRIO FRANCES,107
LA RAYA DE SANTA MARIA,133
LLANO ABAJO,17
SABANA GRANDE (HERRERA),46
NUEVO CHAGRES,57
PORTOBELILLO,13
GUAYABITO (PANAMA OESTE),27
LA ESMERALDA,13
TINAJAS,130
CABUYA (COCLE),110
BIJAGUAL,25
LA PALMA (LOS SANTOS),53
PALENQUE,34
JUAN DIAZ (COCLE),254
HORNITO,25
PUERTO OBALDIA,55
CHIMAN,86
LOS CASTILLOS (VERAGUAS),30
OTOQUE ORIENTE,34
SALTO DUPI,11
LAS MINAS,123
GUARARE,161
DOMINICAL,49
PEÑA BLANCA (NGOBE BUGLE),42
EL RINCON (HERRERA),55
SAN BARTOLO,69
LA SOLEDAD,134
LAS HUACAS (COCLE),19
BAHIA AZUL,8
PARAISO (CHIRIQUI),13
LEONES (VERAGUAS),11
EL NANCITO,9
HATO CHAMI,125
HATO COROTU,46
PUNTA LAUREL,10
GUABAL,26
VALLE RICO,6
EL RETIRO,32
LAS DELICIAS,5
FLORES,2
PLAYA CHIQUITA,9
NANCE DEL RISCO,11
EL GUABO,34
MIRAMAR (COLON),15
CALDERA,87
UNION SANTEÑA,32
LAJAS ADENTRO,16
PIXVAE,17
ALTO DE JESUS (NGOBE BUGLE),44
LLANO GRANDE (VERAGUAS),33
SETEGANTI,5
EL PEDREGOSO (HERRERA),49
LLANO GRANDE (HERRERA),37
EL COPE,111
SANTA RITA (COCLE),112
EL CALABACITO,15
BAKAMA,32
LAJAS DE TOLE,23
QUEBRADA DE LORO (NGOBE BUGLE),53
JADABERI,11
EL BONGO,81
PALMIRA (COLON),12
GUAYABITO (NGOBE BUGLE),3
LOS HATILLOS,29
SANTA ROSA (CHIRIQUI),87
AROSEMENA,70
PURIO,16
PARAISO (LOS SANTOS),20
TONOSI,55
OTOQUE OCCIDENTE,1
ISLA GRANDE,10
CIRI DE LOS SOTOS,17
EL CARATE,23
EL COCAL,104
QUEBRADA EL CIPRIAN,3
QUEBRADA DEL ROSARIO,22
LOS CERRITOS,21
DIKO,8
CERRO DE PLATA,33
LAS TABLAS ABAJO,66
GUAYABAL,79
POTRERILLOS ABAJO,87
EL PEÑON,68
VIENTO FRIO,7
LA ENEA,49
PARITILLA,24
PEÑAS CHATAS,84
AGUA DE SALUD,11
LAS TRANCAS,28
CAÑAS,5
EL ESPINAL,33
SAN LORENZO,165
LAS PALMITAS,80
LAS CABRAS (HERRERA),131
PUNTA ROBALO,15
CHUPAMPA,68
SANTIAGO ESTE,29
MENCHACA,70
LOS CASTILLOS (HERRERA),43
COCLE,186
LIMONES,97
GARACHINE,180
EL BALE,49
SAN PABLO NUEVO,262
ROVIRA,55
PAYA,1
LA TETILLA,37
EL MANANTIAL,10
GUARARE ARRIBA,9
VILLA LOURDES,19
EL MARIA,29
KIKARI,50
LOS VALLES,98
NIBRA,7
PASIGA,6
RIO CHIRIQUI,60
LAS UVAS,89
JUAY,22
GUORONI,2
PUERTO LINDO O GARROTE,10
PALO GRANDE,25
HORCONCITOS,74
BELLA VISTA (CHIRIQUI),138
CHUMICAL,27
BAYANO,4
SITIO PRADO,6
SESTEADERO,21
UNION DEL NORTE,12
LA YEGUADA,21
LOS LLANOS,100
CERRO DE CASA,19
PUERTO VIDAL,74
EL CACAO (VERAGUAS),25
LOS ANGELES (LOS SANTOS),48
LLANO GRANDE (COCLE),54
ZAPOTILLO,53
CUESTA DE PIEDRA,72
SANTA LUCIA,22
SANTIAGO SUR,42
CERRO VIEJO,60
EL CIRUELO,33
MUNUNI,19
TOBOBE,20
SANTA CRUZ (RENACIMIENTO),83
RUBEN CANTU,21
CERRO DE PATENA,7
MARACA,16
MREENI,5
BARNIZAL,11
EL PAREDON,3
CACIQUE,17
EL PALMAR,26
CHICA,33
EL GUASIMO (LOS SANTOS),10
QUEBRADA DE ORO (VERAGUAS),18
LAS CRUCES (LOS SANTOS),17
LA GARCEANA,6
JUSTO FIDEL PALACIOS,4
PALMIRA (CHIRIQUI),77
PUCURO,1
LA MIEL,8
LA ENCANTADA,6
TAIMATI,23
PEDRO GONZALEZ,19
SANTA CLARA (CHIRIQUI),151
LOS ANGELES (CHIRIQUI),10
PEÑA BLANCA (LOS SANTOS),24
CHITRA,6
AGUA BUENA,35
SAN PEDRITO,15
GOBEA,4
SAN JOSE (LOS SANTOS),16
EL RINCON (VERAGUAS),67
COROZAL (LOS SANTOS),12
PERALES,5
CAPURI,17
SANTA ANA (LOS SANTOS),53
LAS HUACAS (VERAGUAS),24
JINGURUDO,14
LAS GUIAS,53
EL ALTO,86
SAN MARTIN DE PORRES (LAS PALMAS),12
EL CRISTO (CHIRIQUI),15
GUIBALE,34
LA MONTAÑUELA,35
EL COCLA,36
CALOVEBORA (VERAGUAS),10
PAJA DE SOMBRERO,74
EL BEBEDERO,25
LOMA YUCA,4
BAJO CORRAL,15
TIERRA OSCURA,15
SAN JUAN DE DIOS,157
LA ARENA (LOS POZOS),12
EL LIBANO,8
CATIVE,8
CALIDONIA (VERAGUAS),77
LLANO DE LA CRUZ,7
EL POTRERO (VERAGUAS),6
GUZMAN,19
LAS PALMAS (LOS SANTOS),6
LAS CRUCES (VERAGUAS),15
LA LAJA,13
CORDILLERA,14
LA RAYA DE CALOBRE,19
LOS CERROS DE PAJA,30
LA MESA (LOS SANTOS),9
EL PICADOR,21
MARIABE,1
EL PEDREGOSO (LOS SANTOS),1
TRES QUEBRADAS,15
CATORCE DE NOVIEMBRE,26
EL PICACHO,18
BREÑON,22
EL CORTEZO,8
CORRAL FALSO,23
CEBACO,8
EL PANTANO,24
ALTOS DE GUERA,15
ISLA CAÑAS,1
CHEPILLO,3
RIO CONGO ARRIBA,88
BAHIA HONDA (LOS SANTOS),23
SAN JUAN DE TURBE,2
EL MACANO,4
SABOGA,19
PUNTA PEñA,1
PEñAS CHATAS,2
ENTRADERO DEL CASTILLO,14
EL CANAFISTULO,12
LAJAMINA,15
LAS GUABAS,16
EL MUÑOZ,1
ORIA ARRIBA,8
EL HATO (LOS SANTOS),7
POCRI (LOS SANTOS),12
BRUJAS,14
SANTA CRUZ DE CHININA,6
EL PUERTO,7
LA ENSENADA,5
GUANICO,5
BAJOS DE GUERA,3
EL TORO,5
EL MENCHACA,30
CAMBUTAL,7
POTRERO DE CAÑA,9
EL TIJERAS,7
LOLA,18
RIO INDIO (COCLE),22
LA PITALOZA,10
LOS ASIENTOS,6
LAS LLANAS,2
CERRO LARGO,1
LA TRONOSA,4
GUARIVIARA,13
VALLERRIQUITO,1
CAMOGANTI,1
VALLE BONITO,6
MONJARAS,4
PIEDRA ROJA,1
ESPINO AMARILLO,5
COCHIGRO,5
HORCONCITOs,1
MANUEL E. AMADOR TERRERO,2
ALTO BILINGUE,1
KRUA,1
LAJEROS,5
